@relation daily-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R4

@attribute month {Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec}
@attribute day {Sun,Mon,Tue,Wed,Thu,Fri,Sat}
@attribute high_cost {FALSE,TRUE}
@attribute usage_bin {1,2,3}

@data
Jan,Sun,FALSE,3
Jan,Mon,TRUE,2
Jan,Tue,TRUE,1
Jan,Wed,TRUE,2
Jan,Thu,TRUE,1
Jan,Fri,TRUE,1
Jan,Sat,FALSE,3
Jan,Sun,FALSE,3
Jan,Mon,TRUE,2
Jan,Tue,TRUE,1
Jan,Wed,TRUE,1
Jan,Thu,TRUE,1
Jan,Fri,TRUE,1
Jan,Sat,FALSE,3
Jan,Sun,FALSE,3
Jan,Mon,TRUE,2
Jan,Tue,TRUE,2
Jan,Wed,TRUE,3
Jan,Thu,TRUE,2
Jan,Fri,TRUE,2
Jan,Sat,FALSE,3
Jan,Sun,FALSE,3
Jan,Mon,TRUE,1
Jan,Tue,TRUE,2
Jan,Wed,TRUE,2
Jan,Thu,TRUE,1
Jan,Fri,TRUE,1
Jan,Sat,FALSE,3
Jan,Sun,FALSE,3
Jan,Mon,TRUE,2
Jan,Tue,TRUE,1
Feb,Wed,TRUE,1
Feb,Thu,TRUE,1
Feb,Fri,TRUE,2
Feb,Sat,FALSE,3
Feb,Sun,FALSE,3
Feb,Mon,TRUE,2
Feb,Tue,TRUE,2
Feb,Wed,TRUE,1
Feb,Thu,TRUE,2
Feb,Fri,TRUE,2
Feb,Sat,FALSE,3
Feb,Sun,FALSE,3
Feb,Mon,TRUE,2
Feb,Tue,TRUE,2
Feb,Wed,TRUE,2
Feb,Thu,TRUE,2
Feb,Fri,TRUE,2
Feb,Sat,FALSE,3
Feb,Sun,FALSE,3
Feb,Mon,TRUE,2
Feb,Tue,TRUE,2
Feb,Wed,TRUE,1
Feb,Thu,TRUE,2
Feb,Fri,TRUE,2
Feb,Sat,FALSE,3
Feb,Sun,FALSE,3
Feb,Mon,TRUE,2
Feb,Tue,TRUE,2
