@relation san_diego_cost_ts_hourly_unix_gmt_local-weka.filters.unsupervised.attribute.NumericToNominal-R14-weka.filters.unsupervised.attribute.Remove-R1-6

@attribute usage_hr_before numeric
@attribute usage_2hr_before numeric
@attribute usage_day_before numeric
@attribute month {Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec}
@attribute day {Sat,Sun,Mon,Tue,Wed,Thu,Fri}
@attribute hour numeric
@attribute usage numeric
@attribute usage_binary {0,1}

@data
0.789,0.9,0.591,Jan,Sat,0,0.703,0
0.703,0.789,0.553,Jan,Sat,1,0.607,0
0.607,0.703,0.549,Jan,Sat,2,0.543,0
0.543,0.607,0.531,Jan,Sat,3,0.546,0
0.546,0.543,0.588,Jan,Sat,4,0.521,0
0.521,0.546,0.684,Jan,Sat,5,0.567,0
0.567,0.521,0.719,Jan,Sat,6,0.666,0
0.666,0.567,0.759,Jan,Sat,7,0.716,0
0.716,0.666,0.782,Jan,Sat,8,0.747,0
0.747,0.716,0.821,Jan,Sat,9,0.79,1
0.79,0.747,0.811,Jan,Sat,10,0.855,1
0.855,0.79,0.834,Jan,Sat,11,0.866,1
0.866,0.855,0.802,Jan,Sat,12,0.881,1
0.881,0.866,0.758,Jan,Sat,13,0.852,1
0.852,0.881,0.765,Jan,Sat,14,0.798,1
0.798,0.852,0.876,Jan,Sat,15,0.821,1
0.821,0.798,1.167,Jan,Sat,16,0.927,1
0.927,0.821,1.223,Jan,Sat,17,1.212,1
1.212,0.927,1.185,Jan,Sat,18,1.24,1
1.24,1.212,1.113,Jan,Sat,19,1.164,1
1.164,1.24,1.018,Jan,Sat,20,1.13,1
1.13,1.164,0.9,Jan,Sat,21,1.033,1
1.033,1.13,0.789,Jan,Sat,22,0.872,1
0.872,1.033,0.703,Jan,Sat,23,0.722,0
0.722,0.872,0.607,Jan,Sun,0,0.654,0
0.654,0.722,0.543,Jan,Sun,1,0.581,0
0.581,0.654,0.546,Jan,Sun,2,0.548,0
0.548,0.581,0.521,Jan,Sun,3,0.555,0
0.555,0.548,0.567,Jan,Sun,4,0.531,0
0.531,0.555,0.666,Jan,Sun,5,0.57,0
0.57,0.531,0.716,Jan,Sun,6,0.696,0
0.696,0.57,0.747,Jan,Sun,7,0.785,1
0.785,0.696,0.79,Jan,Sun,8,0.81,1
0.81,0.785,0.855,Jan,Sun,9,0.824,1
0.824,0.81,0.866,Jan,Sun,10,0.862,1
0.862,0.824,0.881,Jan,Sun,11,0.861,1
0.861,0.862,0.852,Jan,Sun,12,0.888,1
0.888,0.861,0.798,Jan,Sun,13,0.835,1
0.835,0.888,0.821,Jan,Sun,14,0.845,1
0.845,0.835,0.927,Jan,Sun,15,0.876,1
0.876,0.845,1.212,Jan,Sun,16,0.954,1
0.954,0.876,1.24,Jan,Sun,17,1.234,1
1.234,0.954,1.164,Jan,Sun,18,1.269,1
1.269,1.234,1.13,Jan,Sun,19,1.187,1
1.187,1.269,1.033,Jan,Sun,20,1.168,1
1.168,1.187,0.872,Jan,Sun,21,1.056,1
1.056,1.168,0.722,Jan,Sun,22,0.913,1
0.913,1.056,0.654,Jan,Sun,23,0.792,1
0.792,0.913,0.581,Jan,Mon,0,0.677,0
0.677,0.792,0.548,Jan,Mon,1,0.599,0
0.599,0.677,0.555,Jan,Mon,2,0.561,0
0.561,0.599,0.531,Jan,Mon,3,0.572,0
0.572,0.561,0.57,Jan,Mon,4,0.542,0
0.542,0.572,0.696,Jan,Mon,5,0.57,0
0.57,0.542,0.785,Jan,Mon,6,0.719,0
0.719,0.57,0.81,Jan,Mon,7,0.801,1
0.801,0.719,0.824,Jan,Mon,8,0.827,1
0.827,0.801,0.862,Jan,Mon,9,0.8,1
0.8,0.827,0.861,Jan,Mon,10,0.785,1
0.785,0.8,0.888,Jan,Mon,11,0.801,1
0.801,0.785,0.835,Jan,Mon,12,0.851,1
0.851,0.801,0.845,Jan,Mon,13,0.815,1
0.815,0.851,0.876,Jan,Mon,14,0.798,1
0.798,0.815,0.954,Jan,Mon,15,0.851,1
0.851,0.798,1.234,Jan,Mon,16,0.929,1
0.929,0.851,1.269,Jan,Mon,17,1.221,1
1.221,0.929,1.187,Jan,Mon,18,1.29,1
1.29,1.221,1.168,Jan,Mon,19,1.245,1
1.245,1.29,1.056,Jan,Mon,20,1.191,1
1.191,1.245,0.913,Jan,Mon,21,1.036,1
1.036,1.191,0.792,Jan,Mon,22,0.897,1
0.897,1.036,0.677,Jan,Mon,23,0.737,0
0.737,0.897,0.599,Jan,Tue,0,0.626,0
0.626,0.737,0.561,Jan,Tue,1,0.569,0
0.569,0.626,0.572,Jan,Tue,2,0.537,0
0.537,0.569,0.542,Jan,Tue,3,0.542,0
0.542,0.537,0.57,Jan,Tue,4,0.533,0
0.533,0.542,0.719,Jan,Tue,5,0.61,0
0.61,0.533,0.801,Jan,Tue,6,0.76,1
0.76,0.61,0.827,Jan,Tue,7,0.792,1
