start_local,end_local,start_GMT,end_GMT,start_unix,end_unix,month,day,hour,usage,usage_binary
1/1/11 0:00,1/1/11 1:00,1/1/11 7:00,1/1/11 8:00,1293865200.00,1293868800.00,Jan,Sat,00,0.703,0
1/1/11 1:00,1/1/11 2:00,1/1/11 8:00,1/1/11 9:00,1293868800.00,1293872400.00,Jan,Sat,01,0.607,0
1/1/11 2:00,1/1/11 3:00,1/1/11 9:00,1/1/11 10:00,1293872400.00,1293876000.00,Jan,Sat,02,0.543,0
1/1/11 3:00,1/1/11 4:00,1/1/11 10:00,1/1/11 11:00,1293876000.00,1293879600.00,Jan,Sat,03,0.546,0
1/1/11 4:00,1/1/11 5:00,1/1/11 11:00,1/1/11 12:00,1293879600.00,1293883200.00,Jan,Sat,04,0.521,0
1/1/11 5:00,1/1/11 6:00,1/1/11 12:00,1/1/11 13:00,1293883200.00,1293886800.00,Jan,Sat,05,0.567,0
1/1/11 6:00,1/1/11 7:00,1/1/11 13:00,1/1/11 14:00,1293886800.00,1293890400.00,Jan,Sat,06,0.666,0
1/1/11 7:00,1/1/11 8:00,1/1/11 14:00,1/1/11 15:00,1293890400.00,1293894000.00,Jan,Sat,07,0.716,0
1/1/11 8:00,1/1/11 9:00,1/1/11 15:00,1/1/11 16:00,1293894000.00,1293897600.00,Jan,Sat,08,0.747,0
1/1/11 9:00,1/1/11 10:00,1/1/11 16:00,1/1/11 17:00,1293897600.00,1293901200.00,Jan,Sat,09,0.79,1
1/1/11 10:00,1/1/11 11:00,1/1/11 17:00,1/1/11 18:00,1293901200.00,1293904800.00,Jan,Sat,10,0.855,1
1/1/11 11:00,1/1/11 12:00,1/1/11 18:00,1/1/11 19:00,1293904800.00,1293908400.00,Jan,Sat,11,0.866,1
1/1/11 12:00,1/1/11 13:00,1/1/11 19:00,1/1/11 20:00,1293908400.00,1293912000.00,Jan,Sat,12,0.881,1
1/1/11 13:00,1/1/11 14:00,1/1/11 20:00,1/1/11 21:00,1293912000.00,1293915600.00,Jan,Sat,13,0.852,1
1/1/11 14:00,1/1/11 15:00,1/1/11 21:00,1/1/11 22:00,1293915600.00,1293919200.00,Jan,Sat,14,0.798,1
1/1/11 15:00,1/1/11 16:00,1/1/11 22:00,1/1/11 23:00,1293919200.00,1293922800.00,Jan,Sat,15,0.821,1
1/1/11 16:00,1/1/11 17:00,1/1/11 23:00,1/2/11 0:00,1293922800.00,1293926400.00,Jan,Sat,16,0.927,1
1/1/11 17:00,1/1/11 18:00,1/2/11 0:00,1/2/11 1:00,1293926400.00,1293930000.00,Jan,Sat,17,1.212,1
1/1/11 18:00,1/1/11 19:00,1/2/11 1:00,1/2/11 2:00,1293930000.00,1293933600.00,Jan,Sat,18,1.24,1
1/1/11 19:00,1/1/11 20:00,1/2/11 2:00,1/2/11 3:00,1293933600.00,1293937200.00,Jan,Sat,19,1.164,1
1/1/11 20:00,1/1/11 21:00,1/2/11 3:00,1/2/11 4:00,1293937200.00,1293940800.00,Jan,Sat,20,1.13,1
1/1/11 21:00,1/1/11 22:00,1/2/11 4:00,1/2/11 5:00,1293940800.00,1293944400.00,Jan,Sat,21,1.033,1
1/1/11 22:00,1/1/11 23:00,1/2/11 5:00,1/2/11 6:00,1293944400.00,1293948000.00,Jan,Sat,22,0.872,1
1/1/11 23:00,1/2/11 0:00,1/2/11 6:00,1/2/11 7:00,1293948000.00,1293951600.00,Jan,Sat,23,0.722,0
1/2/11 0:00,1/2/11 1:00,1/2/11 7:00,1/2/11 8:00,1293951600.00,1293955200.00,Jan,Sun,00,0.654,0
1/2/11 1:00,1/2/11 2:00,1/2/11 8:00,1/2/11 9:00,1293955200.00,1293958800.00,Jan,Sun,01,0.581,0
1/2/11 2:00,1/2/11 3:00,1/2/11 9:00,1/2/11 10:00,1293958800.00,1293962400.00,Jan,Sun,02,0.548,0
1/2/11 3:00,1/2/11 4:00,1/2/11 10:00,1/2/11 11:00,1293962400.00,1293966000.00,Jan,Sun,03,0.555,0
1/2/11 4:00,1/2/11 5:00,1/2/11 11:00,1/2/11 12:00,1293966000.00,1293969600.00,Jan,Sun,04,0.531,0
1/2/11 5:00,1/2/11 6:00,1/2/11 12:00,1/2/11 13:00,1293969600.00,1293973200.00,Jan,Sun,05,0.57,0
1/2/11 6:00,1/2/11 7:00,1/2/11 13:00,1/2/11 14:00,1293973200.00,1293976800.00,Jan,Sun,06,0.696,0
1/2/11 7:00,1/2/11 8:00,1/2/11 14:00,1/2/11 15:00,1293976800.00,1293980400.00,Jan,Sun,07,0.785,1
1/2/11 8:00,1/2/11 9:00,1/2/11 15:00,1/2/11 16:00,1293980400.00,1293984000.00,Jan,Sun,08,0.81,1
1/2/11 9:00,1/2/11 10:00,1/2/11 16:00,1/2/11 17:00,1293984000.00,1293987600.00,Jan,Sun,09,0.824,1
1/2/11 10:00,1/2/11 11:00,1/2/11 17:00,1/2/11 18:00,1293987600.00,1293991200.00,Jan,Sun,10,0.862,1
1/2/11 11:00,1/2/11 12:00,1/2/11 18:00,1/2/11 19:00,1293991200.00,1293994800.00,Jan,Sun,11,0.861,1
1/2/11 12:00,1/2/11 13:00,1/2/11 19:00,1/2/11 20:00,1293994800.00,1293998400.00,Jan,Sun,12,0.888,1
1/2/11 13:00,1/2/11 14:00,1/2/11 20:00,1/2/11 21:00,1293998400.00,1294002000.00,Jan,Sun,13,0.835,1
1/2/11 14:00,1/2/11 15:00,1/2/11 21:00,1/2/11 22:00,1294002000.00,1294005600.00,Jan,Sun,14,0.845,1
1/2/11 15:00,1/2/11 16:00,1/2/11 22:00,1/2/11 23:00,1294005600.00,1294009200.00,Jan,Sun,15,0.876,1
1/2/11 16:00,1/2/11 17:00,1/2/11 23:00,1/3/11 0:00,1294009200.00,1294012800.00,Jan,Sun,16,0.954,1
1/2/11 17:00,1/2/11 18:00,1/3/11 0:00,1/3/11 1:00,1294012800.00,1294016400.00,Jan,Sun,17,1.234,1
1/2/11 18:00,1/2/11 19:00,1/3/11 1:00,1/3/11 2:00,1294016400.00,1294020000.00,Jan,Sun,18,1.269,1
1/2/11 19:00,1/2/11 20:00,1/3/11 2:00,1/3/11 3:00,1294020000.00,1294023600.00,Jan,Sun,19,1.187,1
1/2/11 20:00,1/2/11 21:00,1/3/11 3:00,1/3/11 4:00,1294023600.00,1294027200.00,Jan,Sun,20,1.168,1
1/2/11 21:00,1/2/11 22:00,1/3/11 4:00,1/3/11 5:00,1294027200.00,1294030800.00,Jan,Sun,21,1.056,1
1/2/11 22:00,1/2/11 23:00,1/3/11 5:00,1/3/11 6:00,1294030800.00,1294034400.00,Jan,Sun,22,0.913,1
1/2/11 23:00,1/3/11 0:00,1/3/11 6:00,1/3/11 7:00,1294034400.00,1294038000.00,Jan,Sun,23,0.792,1
1/3/11 0:00,1/3/11 1:00,1/3/11 7:00,1/3/11 8:00,1294038000.00,1294041600.00,Jan,Mon,00,0.677,0
1/3/11 1:00,1/3/11 2:00,1/3/11 8:00,1/3/11 9:00,1294041600.00,1294045200.00,Jan,Mon,01,0.599,0
1/3/11 2:00,1/3/11 3:00,1/3/11 9:00,1/3/11 10:00,1294045200.00,1294048800.00,Jan,Mon,02,0.561,0
