start_local,end_local,start_GMT,end_GMT,start_unix,end_unix,usage_hr_before,usage_2hr_before,usage_day_before,month,day,hour,usage,usage_binary
1/1/11 0:00,1/1/11 1:00,1/1/11 7:00,1/1/11 8:00,1293865200.00,1293868800.00,0.789,0.9,0.591,Jan,Sat,00,0.703,0
1/1/11 1:00,1/1/11 2:00,1/1/11 8:00,1/1/11 9:00,1293868800.00,1293872400.00,0.703,0.789,0.553,Jan,Sat,01,0.607,0
1/1/11 2:00,1/1/11 3:00,1/1/11 9:00,1/1/11 10:00,1293872400.00,1293876000.00,0.607,0.703,0.549,Jan,Sat,02,0.543,0
1/1/11 3:00,1/1/11 4:00,1/1/11 10:00,1/1/11 11:00,1293876000.00,1293879600.00,0.543,0.607,0.531,Jan,Sat,03,0.546,0
1/1/11 4:00,1/1/11 5:00,1/1/11 11:00,1/1/11 12:00,1293879600.00,1293883200.00,0.546,0.543,0.588,Jan,Sat,04,0.521,0
1/1/11 5:00,1/1/11 6:00,1/1/11 12:00,1/1/11 13:00,1293883200.00,1293886800.00,0.521,0.546,0.684,Jan,Sat,05,0.567,0
1/1/11 6:00,1/1/11 7:00,1/1/11 13:00,1/1/11 14:00,1293886800.00,1293890400.00,0.567,0.521,0.719,Jan,Sat,06,0.666,0
1/1/11 7:00,1/1/11 8:00,1/1/11 14:00,1/1/11 15:00,1293890400.00,1293894000.00,0.666,0.567,0.759,Jan,Sat,07,0.716,0
1/1/11 8:00,1/1/11 9:00,1/1/11 15:00,1/1/11 16:00,1293894000.00,1293897600.00,0.716,0.666,0.782,Jan,Sat,08,0.747,0
1/1/11 9:00,1/1/11 10:00,1/1/11 16:00,1/1/11 17:00,1293897600.00,1293901200.00,0.747,0.716,0.821,Jan,Sat,09,0.79,1
1/1/11 10:00,1/1/11 11:00,1/1/11 17:00,1/1/11 18:00,1293901200.00,1293904800.00,0.79,0.747,0.811,Jan,Sat,10,0.855,1
1/1/11 11:00,1/1/11 12:00,1/1/11 18:00,1/1/11 19:00,1293904800.00,1293908400.00,0.855,0.79,0.834,Jan,Sat,11,0.866,1
1/1/11 12:00,1/1/11 13:00,1/1/11 19:00,1/1/11 20:00,1293908400.00,1293912000.00,0.866,0.855,0.802,Jan,Sat,12,0.881,1
1/1/11 13:00,1/1/11 14:00,1/1/11 20:00,1/1/11 21:00,1293912000.00,1293915600.00,0.881,0.866,0.758,Jan,Sat,13,0.852,1
1/1/11 14:00,1/1/11 15:00,1/1/11 21:00,1/1/11 22:00,1293915600.00,1293919200.00,0.852,0.881,0.765,Jan,Sat,14,0.798,1
1/1/11 15:00,1/1/11 16:00,1/1/11 22:00,1/1/11 23:00,1293919200.00,1293922800.00,0.798,0.852,0.876,Jan,Sat,15,0.821,1
1/1/11 16:00,1/1/11 17:00,1/1/11 23:00,1/2/11 0:00,1293922800.00,1293926400.00,0.821,0.798,1.167,Jan,Sat,16,0.927,1
1/1/11 17:00,1/1/11 18:00,1/2/11 0:00,1/2/11 1:00,1293926400.00,1293930000.00,0.927,0.821,1.223,Jan,Sat,17,1.212,1
1/1/11 18:00,1/1/11 19:00,1/2/11 1:00,1/2/11 2:00,1293930000.00,1293933600.00,1.212,0.927,1.185,Jan,Sat,18,1.24,1
1/1/11 19:00,1/1/11 20:00,1/2/11 2:00,1/2/11 3:00,1293933600.00,1293937200.00,1.24,1.212,1.113,Jan,Sat,19,1.164,1
1/1/11 20:00,1/1/11 21:00,1/2/11 3:00,1/2/11 4:00,1293937200.00,1293940800.00,1.164,1.24,1.018,Jan,Sat,20,1.13,1
1/1/11 21:00,1/1/11 22:00,1/2/11 4:00,1/2/11 5:00,1293940800.00,1293944400.00,1.13,1.164,0.9,Jan,Sat,21,1.033,1
1/1/11 22:00,1/1/11 23:00,1/2/11 5:00,1/2/11 6:00,1293944400.00,1293948000.00,1.033,1.13,0.789,Jan,Sat,22,0.872,1
1/1/11 23:00,1/2/11 0:00,1/2/11 6:00,1/2/11 7:00,1293948000.00,1293951600.00,0.872,1.033,0.703,Jan,Sat,23,0.722,0
1/2/11 0:00,1/2/11 1:00,1/2/11 7:00,1/2/11 8:00,1293951600.00,1293955200.00,0.722,0.872,0.607,Jan,Sun,00,0.654,0
1/2/11 1:00,1/2/11 2:00,1/2/11 8:00,1/2/11 9:00,1293955200.00,1293958800.00,0.654,0.722,0.543,Jan,Sun,01,0.581,0
1/2/11 2:00,1/2/11 3:00,1/2/11 9:00,1/2/11 10:00,1293958800.00,1293962400.00,0.581,0.654,0.546,Jan,Sun,02,0.548,0
1/2/11 3:00,1/2/11 4:00,1/2/11 10:00,1/2/11 11:00,1293962400.00,1293966000.00,0.548,0.581,0.521,Jan,Sun,03,0.555,0
1/2/11 4:00,1/2/11 5:00,1/2/11 11:00,1/2/11 12:00,1293966000.00,1293969600.00,0.555,0.548,0.567,Jan,Sun,04,0.531,0
1/2/11 5:00,1/2/11 6:00,1/2/11 12:00,1/2/11 13:00,1293969600.00,1293973200.00,0.531,0.555,0.666,Jan,Sun,05,0.57,0
1/2/11 6:00,1/2/11 7:00,1/2/11 13:00,1/2/11 14:00,1293973200.00,1293976800.00,0.57,0.531,0.716,Jan,Sun,06,0.696,0
1/2/11 7:00,1/2/11 8:00,1/2/11 14:00,1/2/11 15:00,1293976800.00,1293980400.00,0.696,0.57,0.747,Jan,Sun,07,0.785,1
1/2/11 8:00,1/2/11 9:00,1/2/11 15:00,1/2/11 16:00,1293980400.00,1293984000.00,0.785,0.696,0.79,Jan,Sun,08,0.81,1
1/2/11 9:00,1/2/11 10:00,1/2/11 16:00,1/2/11 17:00,1293984000.00,1293987600.00,0.81,0.785,0.855,Jan,Sun,09,0.824,1
1/2/11 10:00,1/2/11 11:00,1/2/11 17:00,1/2/11 18:00,1293987600.00,1293991200.00,0.824,0.81,0.866,Jan,Sun,10,0.862,1
1/2/11 11:00,1/2/11 12:00,1/2/11 18:00,1/2/11 19:00,1293991200.00,1293994800.00,0.862,0.824,0.881,Jan,Sun,11,0.861,1
1/2/11 12:00,1/2/11 13:00,1/2/11 19:00,1/2/11 20:00,1293994800.00,1293998400.00,0.861,0.862,0.852,Jan,Sun,12,0.888,1
1/2/11 13:00,1/2/11 14:00,1/2/11 20:00,1/2/11 21:00,1293998400.00,1294002000.00,0.888,0.861,0.798,Jan,Sun,13,0.835,1
1/2/11 14:00,1/2/11 15:00,1/2/11 21:00,1/2/11 22:00,1294002000.00,1294005600.00,0.835,0.888,0.821,Jan,Sun,14,0.845,1
1/2/11 15:00,1/2/11 16:00,1/2/11 22:00,1/2/11 23:00,1294005600.00,1294009200.00,0.845,0.835,0.927,Jan,Sun,15,0.876,1
1/2/11 16:00,1/2/11 17:00,1/2/11 23:00,1/3/11 0:00,1294009200.00,1294012800.00,0.876,0.845,1.212,Jan,Sun,16,0.954,1
1/2/11 17:00,1/2/11 18:00,1/3/11 0:00,1/3/11 1:00,1294012800.00,1294016400.00,0.954,0.876,1.24,Jan,Sun,17,1.234,1
1/2/11 18:00,1/2/11 19:00,1/3/11 1:00,1/3/11 2:00,1294016400.00,1294020000.00,1.234,0.954,1.164,Jan,Sun,18,1.269,1
1/2/11 19:00,1/2/11 20:00,1/3/11 2:00,1/3/11 3:00,1294020000.00,1294023600.00,1.269,1.234,1.13,Jan,Sun,19,1.187,1
1/2/11 20:00,1/2/11 21:00,1/3/11 3:00,1/3/11 4:00,1294023600.00,1294027200.00,1.187,1.269,1.033,Jan,Sun,20,1.168,1
1/2/11 21:00,1/2/11 22:00,1/3/11 4:00,1/3/11 5:00,1294027200.00,1294030800.00,1.168,1.187,0.872,Jan,Sun,21,1.056,1
